Rank,Geographic Area,2019
1,"New York, New York, US",8336817
2,"Los Angeles, California, US",3979576
3,"Chicago, Illinois, US",2693976
4,"Houston, Texas, US",2320268
5,"Phoenix, Arizona, US",1680992
6,"Philadelphia, Pennsylvania, US",1584064
7,"San Antonio, Texas, US",1547253
8,"San Diego, California, US",1423851
9,"Dallas, Texas, US",1343573
10,"San Jose, California, US",1021795
11,"Austin, Texas, US",978908
12,"Jacksonville, Florida, US",911507
13,"Fort Worth, Texas, US",909585
14,"Columbus, Ohio, US",898553
15,"Charlotte, North Carolina, US",885708
16,"San Francisco, California, US",881549
17,"Indianapolis (balance), Indiana, US",876384
18,"Seattle, Washington, US",753675
19,"Denver, Colorado, US",727211
20,"Washington, District of Columbia, US",705749
21,"Boston, Massachusetts, US",692600
22,"El Paso, Texas, US",681728
23,"Nashville-Davidson metropolitan government (balance), Tennessee, US",670820
24,"Detroit, Michigan, US",670031
25,"Oklahoma, Oklahoma, US",655057
26,"Portland, Oregon, US",654741
27,"Las Vegas, Nevada, US",651319
28,"Memphis, Tennessee, US",651073
29,"Louisville/Jefferson County metro government (balance), Kentucky, US",617638
30,"Baltimore, Maryland, US",593490
31,"Milwaukee, Wisconsin, US",590157
32,"Albuquerque, New Mexico, US",560513
33,"Tucson, Arizona, US",548073
34,"Fresno, California, US",531576
35,"Mesa, Arizona, US",518012
36,"Sacramento, California, US",513624
37,"Atlanta, Georgia, US",506811
38,"Kansas, Missouri, US",495327
39,"Colorado Springs, Colorado, US",478221
40,"Omaha, Nebraska, US",478192
41,"Raleigh, North Carolina, US",474069
42,"Miami, Florida, US",467963
43,"Long Beach, California, US",462628
44,"Virginia Beach, Virginia, US",449974
45,"Oakland, California, US",433031
46,"Minneapolis, Minnesota, US",429606
47,"Tulsa, Oklahoma, US",401190
48,"Tampa, Florida, US",399700
49,"Arlington, Texas, US",398854
50,"New Orleans, Louisiana, US",390144
51,"Wichita, Kansas, US",389938
52,"Bakersfield, California, US",384145
53,"Cleveland, Ohio, US",381009
54,"Aurora, Colorado, US",379289
55,"Anaheim, California, US",350365
56,"Urban Honolulu CDP, Hawaii, US",345064
